Region,Education,Jobs,Income,Safety,Health,Environment,Civic engagement,Accessiblity to services,Housing,Community,Life satisfaction
Bavaria,8.919703715606728,10.070774199426928,5.176980990897691,9.762569115300753,8.14588025526412,8.217897578891403,8.0816110303727,6.756700823588395,4.439324650769763,4.8762417140593985,7.758805905764807
Bavaria,9.275581661969376,9.57607985241851,4.91466923214826,9.480700967069515,8.448985438281563,6.745924520992898,8.128892528832049,6.226317352577307,5.308889826417108,5.3803597815392274,8.17835640131086
Bavaria,9.545914770419337,10.515911282620761,6.0187737505776555,9.975834557659798,7.652267539645838,8.113247475427467,8.293769379238453,7.142279156348128,3.808278154784389,5.016262952310641,7.757909346232919
Bavaria,9.023166363818346,9.807871774930822,4.32910256784605,9.326875734323536,7.326182154357749,7.886566925436806,7.812538045484146,5.932533412613013,4.637176214752866,4.855753388088025,7.696703700440043
Bavaria,8.702865698418714,9.766671325050924,5.365670535753174,9.939160595300015,7.118898236045894,8.291788465423355,7.582558727478434,6.868966487157341,4.966926293862115,5.030921502867192,8.631599100235785
Bavaria,9.384368588342163,9.001798786032502,3.7266439988901015,10.092692452367345,7.332637996648781,7.712713216619474,9.009252796151065,7.3886346805187575,5.183580725461644,5.864894454797743,7.731597989788139
Bavaria,8.29083694925847,9.86530124351093,5.567064899894512,9.873646486879126,7.669515706492802,8.2279004363237,8.784672202940854,7.372681429579653,4.326748723251588,4.552222560450774,8.037538793099742
Bavaria,8.980237154996235,9.586721758473816,5.888044825098764,11.323015188293292,6.223098782687147,7.282749631511126,8.191230686092714,5.6740363675372745,3.932479347563322,5.90729202499979,7.775987529546875
Bavaria,8.16806372836261,9.941163215183982,4.529819869281695,8.953918363398545,7.866133460182049,7.792859844822487,7.948256955296919,6.362947346615585,5.030817489636069,5.402348839204863,7.200510385335609
Bavaria,9.260405937967441,10.469557983724025,5.430340214047608,9.688279588911886,7.657934778799958,7.286928660151717,8.497988271161262,6.344321771587579,4.542406353331462,5.33508811117428,8.014174844352432
Bavaria,8.40922013385938,9.776939462065274,5.089899564596765,10.357276879520015,7.879295489163029,7.816761100678441,8.360746372589233,6.098829348865912,3.7441753478446733,5.397828499102956,7.585742691152344
Bavaria,9.135587070049295,9.642477802528216,5.201151115112724,10.048236326495323,7.521926977526553,6.8976250676766115,8.00238090523944,6.344232651817059,3.7723691866173503,5.256188538785034,7.297959527804122
Bavaria,8.249383767988714,9.690885836362478,5.727764950386055,10.475351964693397,6.935545026344573,7.510824549921067,7.573143919793165,6.641492432991223,5.5155913033755155,5.15140598848013,7.951858667203688
Bavaria,8.737834128097012,10.580221520358194,4.866621307916041,10.088038129043223,6.605965324918613,7.6931739256832286,8.17752391494606,6.88493965781243,5.286188676279062,5.4079971900344725,8.400042316874544
Bavaria,8.971386975797538,9.834329998149792,6.065865574714216,10.038201008873717,6.680923780504824,7.126379134886633,8.981216474674188,7.283891256442328,4.605156059421624,4.766715453952964,8.043303040879112
Bavaria,8.915598280254493,9.793818938414868,5.343695497530557,10.076871432395391,8.197913305740975,7.924162868833778,7.709069844078266,6.121091572135634,4.263303587840317,5.003321470070307,7.982566767981602
Bavaria,9.130993769860847,9.427103594347034,5.803465581417881,9.027865725239728,7.18128222900705,7.340357047914232,8.27636677626253,5.935419273497017,4.79955708689284,5.513107744057487,7.780547482156973
Bavaria,9.11655493257075,9.007790258539748,5.203365938724776,10.127733991447544,7.291154542401727,7.979897285852037,7.039704733940007,7.398504336750727,4.35817432379278,5.19393410931844,7.797007615765787
Bavaria,8.830078520289334,10.061079571305147,4.501235485092583,9.113211654544282,7.5333598191183695,6.47890355941043,8.105058407641156,6.4936408521180145,5.494564844356092,5.619666307816244,7.458503986045954
Bavaria,8.764675708697077,8.80674200672976,4.872574314213149,10.581446192406695,7.76953055146895,7.261496752727558,7.74722714378469,7.022499495392591,4.437514234001349,5.2334284674612395,7.465986709316515
Bavaria,9.210598460292442,9.830045240665774,5.286932569470218,9.679202659875363,5.99850358288106,7.4607377624593285,8.242942863342646,6.792883018050348,4.6685374043057255,6.179091762494013,7.790282553895304
Bavaria,9.434647166065703,9.600865732390474,3.794150184718871,9.440052898575217,7.4468640213434965,7.528006431701756,8.067124966089615,5.9570972699414035,4.687056445571843,5.110025051219288,7.039036694623107
Bavaria,8.84538007237096,10.056670342483665,4.446301010249603,10.528439346488643,7.837967473198123,7.482761386367668,7.7068208008285595,6.817246221814237,5.280793650483322,5.175883351701539,7.484727989365335
Bavaria,8.883301809516876,9.123079311096156,5.073094607541559,10.03725024765922,6.62188723908222,6.990607576425605,7.854492382132214,6.0252236733357165,4.909236701901314,5.180528383728603,8.176316402262366
